,date,Origin,ArrDelay
0,1994-01-31,ATL,8.128430728824688
1,1994-01-31,DFW,6.415395700732557
2,1994-01-31,LAX,1.980599832214765
3,1994-01-31,ORD,7.638556358895342
4,1994-01-31,STL,6.664139941690962
5,1994-02-28,ATL,6.0926467441694605
6,1994-02-28,DFW,3.6956747292652876
7,1994-02-28,LAX,1.0575606359521876
8,1994-02-28,ORD,5.786168319349097
9,1994-02-28,STL,1.7053936763794173
10,1994-03-31,ATL,5.803205531112508
11,1994-03-31,DFW,1.0809328638226634
12,1994-03-31,LAX,1.7751225490196079
13,1994-03-31,ORD,-1.6412433820831367
14,1994-03-31,STL,-0.8383371824480369
15,1994-04-30,ATL,5.345761610912634
16,1994-04-30,DFW,2.73550746358132
17,1994-04-30,LAX,1.1436354112100575
18,1994-04-30,ORD,0.7691016407646072
19,1994-04-30,STL,1.044343499891845
20,1994-05-31,ATL,3.2091296487603307
21,1994-05-31,DFW,2.214667371264165
22,1994-05-31,LAX,1.2435641588505288
23,1994-05-31,ORD,-2.0823450204567817
24,1994-05-31,STL,-2.0416409623689082
25,1994-06-30,ATL,5.859948943412282
26,1994-06-30,DFW,4.623948451763021
27,1994-06-30,LAX,3.3774167829380106
28,1994-06-30,ORD,1.8524616889468537
29,1994-06-30,STL,3.1654306338376346
30,1994-07-31,ATL,7.533510783510783
31,1994-07-31,DFW,5.660666518056175
32,1994-07-31,LAX,4.604184178574764
33,1994-07-31,ORD,2.246417878528657
34,1994-07-31,STL,1.9723587793340136
35,1994-08-31,ATL,3.151583095529284
36,1994-08-31,DFW,2.002378450135516
37,1994-08-31,LAX,3.062121490181685
38,1994-08-31,ORD,1.2131036987083053
39,1994-08-31,STL,1.159426740252804
40,1994-09-30,ATL,1.0930575035063113
41,1994-09-30,DFW,1.5790575916230367
42,1994-09-30,LAX,0.7858508604206501
43,1994-09-30,ORD,-0.7861611271283251
44,1994-09-30,STL,0.22164900103179813
45,1994-10-31,ATL,2.364207851267304
46,1994-10-31,DFW,6.742268041237113
47,1994-10-31,LAX,0.8758915834522111
48,1994-10-31,ORD,-0.6132208894243361
49,1994-10-31,STL,4.409480890891758
50,1994-11-30,ATL,2.6899036795786846
51,1994-11-30,DFW,4.84160237388724
52,1994-11-30,LAX,1.940704371636295
53,1994-11-30,ORD,1.6730726628267611
54,1994-11-30,STL,7.260999727841785
55,1994-12-31,ATL,2.7167047439860235
56,1994-12-31,DFW,8.848933987002622
57,1994-12-31,LAX,4.142037935597706
58,1994-12-31,ORD,-0.595432125241261
59,1994-12-31,STL,6.71945783680524
0,1995-01-31,ATL,3.931241347485002
1,1995-01-31,DFW,7.57877088830255
2,1995-01-31,LAX,10.46845140742016
3,1995-01-31,ORD,4.2877375875322485
4,1995-01-31,STL,13.586286240220893
5,1995-02-28,ATL,5.625973283805986
6,1995-02-28,DFW,5.047026863869605
7,1995-02-28,LAX,3.9483677859882143
8,1995-02-28,ORD,-1.3138576361813523
9,1995-02-28,STL,4.07070026933436
10,1995-03-31,ATL,3.1608318664841253
11,1995-03-31,DFW,12.121405228758169
12,1995-03-31,LAX,4.733079910751178
13,1995-03-31,ORD,1.5557446808510638
14,1995-03-31,STL,4.245847750865052
