,date,Origin,ArrDelay
0,1994-01-31,ATL,11.583098291735405
1,1994-01-31,DFW,10.455260617760617
2,1994-01-31,LAX,5.944879239249348
3,1994-01-31,ORD,13.772600901160004
4,1994-01-31,STL,13.001312828207052
5,1994-02-28,ATL,9.599325816575613
6,1994-02-28,DFW,8.582499602985548
7,1994-02-28,LAX,4.917914638712093
8,1994-02-28,ORD,13.164887611618598
9,1994-02-28,STL,5.352256770310933
10,1994-03-31,ATL,8.483183568677791
11,1994-03-31,DFW,4.791985001171783
12,1994-03-31,LAX,4.5190311418685125
13,1994-03-31,ORD,0.7121893789681706
14,1994-03-31,STL,1.3134392076502732
15,1994-04-30,ATL,9.50326797385621
16,1994-04-30,DFW,9.200853871531146
17,1994-04-30,LAX,3.4821216742924928
18,1994-04-30,ORD,4.735197584350794
19,1994-04-30,STL,5.758956214064574
20,1994-05-31,ATL,5.085364583333333
21,1994-05-31,DFW,6.008736942070275
22,1994-05-31,LAX,2.639878087905037
23,1994-05-31,ORD,-0.2576932804991147
24,1994-05-31,STL,-0.4038184132371659
25,1994-06-30,ATL,10.933230611196713
26,1994-06-30,DFW,9.131399153194765
27,1994-06-30,LAX,5.298861632194965
28,1994-06-30,ORD,7.138339051640714
29,1994-06-30,STL,7.043144160730009
30,1994-07-31,ATL,11.947931764968224
31,1994-07-31,DFW,12.085338569015114
32,1994-07-31,LAX,6.952522481329066
33,1994-07-31,ORD,8.432798264642082
34,1994-07-31,STL,5.135118958551549
35,1994-08-31,ATL,5.670146480104941
36,1994-08-31,DFW,8.346296631655198
37,1994-08-31,LAX,5.153415453527436
38,1994-08-31,ORD,5.767077738962078
39,1994-08-31,STL,4.240614086146683
40,1994-09-30,ATL,2.3656533394170993
41,1994-09-30,DFW,4.157759386543227
42,1994-09-30,LAX,2.2261656228253304
43,1994-09-30,ORD,1.8111321502488
44,1994-09-30,STL,1.6010135390666365
45,1994-10-31,ATL,4.428703502284098
46,1994-10-31,DFW,15.939964362406908
47,1994-10-31,LAX,2.944050376375217
48,1994-10-31,ORD,1.501376710297793
49,1994-10-31,STL,7.600562983814215
50,1994-11-30,ATL,4.992890192980476
51,1994-11-30,DFW,8.628498971242642
52,1994-11-30,LAX,4.58241007740173
53,1994-11-30,ORD,5.793015102481122
54,1994-11-30,STL,11.593584483401715
55,1994-12-31,ATL,4.588395384280426
56,1994-12-31,DFW,14.223006644518273
57,1994-12-31,LAX,6.9778268929131615
58,1994-12-31,ORD,2.369074492099323
59,1994-12-31,STL,11.924292297564188
0,1995-01-31,ATL,6.907543479410054
1,1995-01-31,DFW,13.233546678437431
2,1995-01-31,LAX,15.937851538087633
3,1995-01-31,ORD,9.69475908706678
4,1995-01-31,STL,20.84675014907573
5,1995-02-28,ATL,9.65094505237287
6,1995-02-28,DFW,10.902136017677387
7,1995-02-28,LAX,7.399362235213727
8,1995-02-28,ORD,2.171552463977596
9,1995-02-28,STL,7.719827586206897
10,1995-03-31,ATL,5.608652333508128
11,1995-03-31,DFW,19.156750319763596
12,1995-03-31,LAX,9.106786964718557
13,1995-03-31,ORD,5.745826949439562
14,1995-03-31,STL,6.517023346303502
15,1995-04-30,ATL,8.492985971943888
16,1995-04-30,DFW,12.125763182238668
17,1995-04-30,LAX,5.68671146461876
18,1995-04-30,ORD,6.94341611502298
19,1995-04-30,STL,8.736516935601104
20,1995-05-31,ATL,8.97213318167718
21,1995-05-31,DFW,10.066216278746934
22,1995-05-31,LAX,4.026195822276655
23,1995-05-31,ORD,7.1324046132859324
24,1995-05-31,STL,15.120603015075377
25,1995-06-30,ATL,13.733915054667788
26,1995-06-30,DFW,9.598771093176817
27,1995-06-30,LAX,10.835042444821731
