date,ArrDelay
2005-01-01,-1.4117209579056968
2005-01-02,8.857985888389994
2005-01-03,14.216586355566827
2005-01-04,8.289560512076019
2005-01-05,14.04633605762571
2005-01-06,13.23456128600134
2005-01-07,4.812904491076682
2005-01-08,4.376831713712788
2005-01-09,2.1222252671964923
2005-01-10,0.05522822920038847
2005-01-11,1.3889223762641485
2005-01-12,6.575531696642276
2005-01-13,12.062010174618452
2005-01-14,8.8490113452188
2005-01-15,-2.7388910133843214
2005-01-16,0.4910805823251999
2005-01-17,2.4022875816993463
2005-01-18,-1.8225817145130279
2005-01-19,5.175788839016548
2005-01-20,5.538055254604551
2005-01-21,3.2291957229195725
2005-01-22,11.724041610479677
2005-01-23,1.046151376514969
2005-01-24,2.3082882521872703
2005-01-25,-5.0345442536327605
2005-01-26,1.3717723401378938
2005-01-27,0.3298113696765411
2005-01-28,-0.1369253907016282
2005-01-29,-1.4311983107513637
2005-01-30,4.413244839909562
2005-01-31,-1.421927554980595
2005-02-01,-3.6789094037456156
2005-02-02,-0.08926546133831477
2005-02-03,0.2921224674736229
2005-02-04,-1.044408945686901
2005-02-05,-6.371966019417476
2005-02-06,-4.91901241267042
2005-02-07,-1.0184379666298773
2005-02-08,-3.1537407866414453
2005-02-09,-0.29370720573850667
2005-02-10,-0.44015763045827244
2005-02-11,4.181434868715262
2005-02-12,-3.8149773071104387
2005-02-13,-0.3519842080185147
2005-02-14,-1.06080165235913
2005-02-15,-0.43216180371352786
2005-02-16,0.9219059801726894
2005-02-17,2.507120549656465
2005-02-18,7.244777050202682
2005-02-19,0.5005470060535336
2005-02-20,4.443541724042963
2005-02-21,17.673413004369056
2005-02-22,4.7240677103220055
2005-02-23,0.9174813480833548
2005-02-24,9.462354957805907
2005-02-25,3.736651180551136
2005-02-26,-2.7979908276916357
2005-02-27,3.2518473733709525
2005-02-28,6.826078274760383
2005-03-01,4.838048461034709
2005-03-02,0.6246315519671921
2005-03-03,-2.297
2005-03-04,-0.42393999110037506
2005-03-05,-4.508858761925256
2005-03-06,-2.764729220392779
2005-03-07,-0.31064094586185437
2005-03-08,2.9560153466703207
2005-03-09,2.975595877852943
2005-03-10,3.0849872456915324
2005-03-11,6.676877470355731
2005-03-12,1.4483478511266288
2005-03-13,-1.4938570121552739
2005-03-14,-2.062112571286883
2005-03-15,-3.1512333965844403
2005-03-16,3.5350266541235498
2005-03-17,7.3562366536867225
2005-03-18,3.4605039904480615
2005-03-19,1.0970476468868753
2005-03-20,1.922490803993694
2005-03-21,1.4252651278852153
2005-03-22,1.824514823945888
2005-03-23,6.39988569251286
2005-03-24,2.612491351657337
2005-03-25,6.844867251134739
2005-03-26,3.316829533116178
2005-03-27,3.0590881622238637
2005-03-28,11.390935561463476
2005-03-29,-1.0789806500569117
2005-03-30,-2.8144684100019086
2005-03-31,4.8533748569975845
2005-04-01,3.0968704373770075
2005-04-02,6.83831705484598
2005-04-03,5.121129748723729
2005-04-04,-2.205155477695051
2005-04-05,-3.1032039826397755
2005-04-06,-3.4562433631082516
2005-04-07,0.8134219689775245
2005-04-08,0.5270476190476191
2005-04-09,-6.160651408450704
2005-04-10,-4.368726132024005
2005-04-11,1.619056711857934
2005-04-12,-3.5012278660979708
2005-04-13,-3.478134845620668
2005-04-14,-3.2003201181974883
2005-04-15,-2.729812900049237
2005-04-16,-6.372936342008507
2005-04-17,-4.600224037954665
2005-04-18,-5.128022759601707
2005-04-19,-5.811565746136306
2005-04-20,-1.9680574077602082
2005-04-21,-2.7843149527445705
2005-04-22,6.633679119200662
2005-04-23,1.079839883551674
2005-04-24,-0.07237268368536996
2005-04-25,-1.6720547093565434
2005-04-26,-2.276103579001478
2005-04-27,-1.4824550449550449
2005-04-28,0.2656221084448831
2005-04-29,-1.847831568330812
2005-04-30,4.12255331580485
2005-05-01,-1.8581272539927873
2005-05-02,-3.2761792306258157
2005-05-03,-4.901494260244982
2005-05-04,-3.3394142467113426
2005-05-05,0.7979934757185942
2005-05-06,-1.0877214796394157
2005-05-07,-5.73966882649388
2005-05-08,-1.246568178846908
2005-05-09,-2.1541598694942903
2005-05-10,-4.413675429726997
2005-05-11,1.7485353762956286
2005-05-12,0.4313798449612403
2005-05-13,1.0303744111083561
2005-05-14,-3.760253273852353
2005-05-15,-0.4684561128526646
2005-05-16,-3.3849762360348126
2005-05-17,-4.844281618349793
2005-05-18,-1.1600737725769523
2005-05-19,5.486944920907185
2005-05-20,7.907732751987689
2005-05-21,-4.1229911683799045
2005-05-22,-1.8322643343051506
2005-05-23,-1.064195524440555
2005-05-24,-1.3525406632202748
2005-05-25,3.8285165011214355
2005-05-26,1.5277898798780107
2005-05-27,-0.8911894273127753
2005-05-28,-3.0814917127071824
2005-05-29,-5.252072481842858
2005-05-30,-3.5475220191928485
2005-05-31,-1.4449218506756336
2005-06-01,0.6423988310780764
2005-06-02,0.20280203555946472
2005-06-03,4.483617300131062
2005-06-04,-1.523365162037037
2005-06-05,5.645827866701653
2005-06-06,7.915265284839004
2005-06-07,2.686739350912779
2005-06-08,3.1241083264945395
2005-06-09,6.435681564937477
2005-06-10,12.03965970223946
2005-06-11,3.961551953974602
2005-06-12,3.775648396575955
2005-06-13,1.4181295492079027
2005-06-14,1.705403543923361
2005-06-15,-0.8720674486803519
2005-06-16,3.2446333557580576
2005-06-17,0.9488971258431063
2005-06-18,-3.4071019629225736
2005-06-19,-1.7754431195617144
2005-06-20,-0.03805717798954811
2005-06-21,-1.5597144630664184
2005-06-22,1.4775925122419884
2005-06-23,0.8388155894692041
