,date,UniqueCarrier,ArrDelay
0,1994-01-31,AA,9.9522443265292
1,1994-01-31,DL,9.619810835960612
2,1994-01-31,UA,12.705818413010931
3,1994-01-31,US,13.309527128541115
4,1994-01-31,WN,4.44474443720324
5,1994-02-28,AA,8.69426461374898
6,1994-02-28,DL,8.215687765124446
7,1994-02-28,UA,12.596577887546447
8,1994-02-28,US,10.890575106719101
9,1994-02-28,WN,4.925827013680683
10,1994-03-31,AA,2.6255351582771147
11,1994-03-31,DL,5.907795619655255
12,1994-03-31,UA,2.394996251874063
13,1994-03-31,US,6.196016232281664
14,1994-03-31,WN,2.6318037235580665
15,1994-04-30,AA,5.823805532271584
16,1994-04-30,DL,7.2207707471471805
17,1994-04-30,UA,6.195058874238358
18,1994-04-30,US,4.584230479828674
19,1994-04-30,WN,2.9318600368324126
20,1994-05-31,AA,1.9273412621043737
21,1994-05-31,DL,4.012594115484635
22,1994-05-31,UA,2.9822849083215797
23,1994-05-31,US,3.039696662742629
24,1994-05-31,WN,1.5203886061727578
25,1994-06-30,AA,5.674787257439645
26,1994-06-30,DL,8.337484450780606
27,1994-06-30,UA,7.5814412825036435
28,1994-06-30,US,7.608320678490587
29,1994-06-30,WN,4.746715946030191
30,1994-07-31,AA,8.247504437460307
31,1994-07-31,DL,9.633288487411109
32,1994-07-31,UA,7.709228447392446
33,1994-07-31,US,10.699727414869034
34,1994-07-31,WN,3.9088841595726924
35,1994-08-31,AA,4.853138487900293
36,1994-08-31,DL,6.329404298984662
37,1994-08-31,UA,4.5952790087727236
38,1994-08-31,US,6.793464531638349
39,1994-08-31,WN,3.4609535131589735
40,1994-09-30,AA,1.684559221200649
41,1994-09-30,DL,3.1469626399762163
42,1994-09-30,UA,1.6754372388175205
43,1994-09-30,US,3.055566594754173
44,1994-09-30,WN,1.678598723483362
45,1994-10-31,AA,7.642588574362712
46,1994-10-31,DL,5.626858755060039
47,1994-10-31,UA,0.17081720587161323
48,1994-10-31,US,1.4047858352494114
49,1994-10-31,WN,5.678448227110785
50,1994-11-30,AA,4.860603314570517
51,1994-11-30,DL,5.604143496734822
52,1994-11-30,UA,3.0869752381665387
53,1994-11-30,US,5.842220819102833
54,1994-11-30,WN,7.417233201581028
55,1994-12-31,AA,6.944779403120434
56,1994-12-31,DL,5.367101963632377
57,1994-12-31,UA,2.090071307181527
58,1994-12-31,US,5.10759210599877
59,1994-12-31,WN,10.669837974975495
0,1995-01-31,AA,9.962603969910859
1,1995-01-31,DL,6.645487968358043
2,1995-01-31,UA,7.455662319835278
3,1995-01-31,US,6.901216416771849
4,1995-01-31,WN,12.65827749632293
5,1995-02-28,AA,7.829043744580359
6,1995-02-28,DL,6.923880134103295
7,1995-02-28,UA,3.9672954343314557
8,1995-02-28,US,6.665401664204059
9,1995-02-28,WN,6.040327649878211
10,1995-03-31,AA,11.918155464167734
11,1995-03-31,DL,5.289943089002477
12,1995-03-31,UA,5.432131104598811
13,1995-03-31,US,4.507025877348458
14,1995-03-31,WN,7.340302786615853
15,1995-04-30,AA,9.167973659520985
16,1995-04-30,DL,6.7829428739452124
17,1995-04-30,UA,3.196870549942361
18,1995-04-30,US,4.1942553445598945
19,1995-04-30,WN,6.408035176704556
20,1995-05-31,AA,6.509202672605791
21,1995-05-31,DL,6.694601845008349
22,1995-05-31,UA,4.685464784134497
23,1995-05-31,US,3.8098685204775578
24,1995-05-31,WN,5.994980681661377
25,1995-06-30,AA,7.840187270656712
26,1995-06-30,DL,9.730766556820868
27,1995-06-30,UA,9.655901743582879
28,1995-06-30,US,7.930882115787776
29,1995-06-30,WN,6.327248426013858
30,1995-07-31,AA,6.1390424696956485
31,1995-07-31,DL,7.520802427970658
32,1995-07-31,UA,7.695221464242582
33,1995-07-31,US,6.560868228096017
34,1995-07-31,WN,4.02427681468756
35,1995-08-31,AA,5.762350124065173
36,1995-08-31,DL,7.56429120012935
37,1995-08-31,UA,8.801789970329295
38,1995-08-31,US,5.064735051972408
39,1995-08-31,WN,4.396442634537071
40,1995-09-30,AA,0.9583792723263506
41,1995-09-30,DL,5.447645053126017
42,1995-09-30,UA,3.5258840654165597
43,1995-09-30,US,2.5882794506525633
44,1995-09-30,WN,2.0960998385171665
45,1995-10-31,AA,2.683397071004353
46,1995-10-31,DL,8.670020856469568
47,1995-10-31,UA,6.599253102434027
48,1995-10-31,US,5.054721294758138
49,1995-10-31,WN,3.385003462261351
50,1995-11-30,AA,4.2758155230596175
51,1995-11-30,DL,10.323931342042245
52,1995-11-30,UA,10.23423965990612
53,1995-11-30,US,7.286806589008057
54,1995-11-30,WN,6.676042390548992
55,1995-12-31,AA,13.703267155328005
56,1995-12-31,DL,17.65224968977008
57,1995-12-31,UA,15.409220271567687
58,1995-12-31,US,13.811831148347268
59,1995-12-31,WN,11.472808483071363
0,1996-01-31,AA,16.70186335403727
1,1996-01-31,DL,23.826329331046313
2,1996-01-31,UA,17.60741874621765
3,1996-01-31,US,15.919133211351488
4,1996-01-31,WN,8.146176609052391
5,1996-02-29,AA,9.288942307692308
6,1996-02-29,DL,15.509105021195296
7,1996-02-29,UA,11.58373975025457
8,1996-02-29,US,10.894455235093634
9,1996-02-29,WN,6.0028994620275276
10,1996-03-31,AA,7.144894062016914
11,1996-03-31,DL,12.910506950122649
12,1996-03-31,UA,6.037907293908871
13,1996-03-31,US,10.11499617952892
14,1996-03-31,WN,5.092618429591175
15,1996-04-30,AA,9.65981743736148
16,1996-04-30,DL,9.134010166579833
17,1996-04-30,UA,3.7331821617535903
18,1996-04-30,US,6.840208541395128
19,1996-04-30,WN,4.430960227087343
20,1996-05-31,AA,9.027610888592196
21,1996-05-31,DL,7.420853093448927
22,1996-05-31,UA,11.875294553288898
23,1996-05-31,US,6.005842988413903
24,1996-05-31,WN,4.401710342225646
25,1996-06-30,AA,13.084758224149308
26,1996-06-30,DL,9.668923982126502
27,1996-06-30,UA,10.700182143274903
28,1996-06-30,US,8.916174426685197
29,1996-06-30,WN,5.85423044251759
30,1996-07-31,AA,17.156155990901755
31,1996-07-31,DL,10.508932224192009
32,1996-07-31,UA,9.604504199513146
33,1996-07-31,US,8.28892724865508
34,1996-07-31,WN,3.7964089558276672
35,1996-08-31,AA,15.516923132171009
36,1996-08-31,DL,10.753589643525185
37,1996-08-31,UA,8.97858214433911
38,1996-08-31,US,8.090250012442556
39,1996-08-31,WN,4.662333292548635
40,1996-09-30,AA,7.775128628288516
41,1996-09-30,DL,7.819490091324839
42,1996-09-30,UA,8.264560777248311
43,1996-09-30,US,4.115408341615545
44,1996-09-30,WN,6.176735259966456
45,1996-10-31,AA,9.338508041944994
46,1996-10-31,DL,8.752519209805643
47,1996-10-31,UA,10.209793747144442
48,1996-10-31,US,3.456455135099899
49,1996-10-31,WN,10.13149586802439
50,1996-11-30,AA,4.293732077017616
51,1996-11-30,DL,8.602594699597613
52,1996-11-30,UA,6.549241379310345
53,1996-11-30,US,5.431944916695001
54,1996-11-30,WN,7.953669402875467
55,1996-12-31,AA,11.285823198402614
56,1996-12-31,DL,13.916231681048723
57,1996-12-31,UA,18.829265834691032
58,1996-12-31,US,10.791576069051855
59,1996-12-31,WN,15.972147179171209
0,1997-01-31,AA,10.392302081579981
1,1997-01-31,DL,12.480718234230906
2,1997-01-31,UA,15.777422264581242
3,1997-01-31,US,6.491265298065535
4,1997-01-31,WN,13.085841711861509
5,1997-02-28,AA,9.300706499798142
6,1997-02-28,DL,11.700798733539614
7,1997-02-28,UA,9.608094178918245
8,1997-02-28,US,6.453678449505988
9,1997-02-28,WN,7.069335888255761
10,1997-03-31,AA,5.449769187936702
11,1997-03-31,DL,9.63631878902751
12,1997-03-31,UA,5.2594359320291675
13,1997-03-31,US,4.925993431855501
14,1997-03-31,WN,4.9023949183964985
15,1997-04-30,AA,7.271070952451488
16,1997-04-30,DL,9.482458734340556
17,1997-04-30,UA,5.240554051585258
18,1997-04-30,US,6.160892255892256
19,1997-04-30,WN,6.486981108625404
20,1997-05-31,AA,1.5288483999065638
21,1997-05-31,DL,8.333008409040694
22,1997-05-31,UA,5.158424997566437
23,1997-05-31,US,3.8081022756997123
24,1997-05-31,WN,4.304930088977665
25,1997-06-30,AA,6.8902096992886195
26,1997-06-30,DL,13.850984615793742
27,1997-06-30,UA,11.092231740011771
