,date,UniqueCarrier,ArrDelay
0,1994-01-31,AA,4.729366846961502
1,1994-01-31,DL,5.7858573409336005
2,1994-01-31,UA,6.363460412050832
3,1994-01-31,US,7.867030930223578
4,1994-01-31,WN,0.814125862118307
5,1994-02-28,AA,3.3143651223590926
6,1994-02-28,DL,4.689537234746131
7,1994-02-28,UA,5.2606982447438755
8,1994-02-28,US,4.381477986131057
9,1994-02-28,WN,1.4195629359837028
10,1994-03-31,AA,-0.5836951373539627
11,1994-03-31,DL,3.1537729814836073
12,1994-03-31,UA,-0.9854996346364633
13,1994-03-31,US,2.1700913042719225
14,1994-03-31,WN,0.4393134450347364
15,1994-04-30,AA,1.0949277299175524
16,1994-04-30,DL,3.3970349660004833
17,1994-04-30,UA,1.9770598126351189
18,1994-04-30,US,1.089770981583176
19,1994-04-30,WN,0.27226188106140325
20,1994-05-31,AA,-0.7095781026537422
21,1994-05-31,DL,2.049113394408733
22,1994-05-31,UA,0.9152989652538254
23,1994-05-31,US,-0.1583000618098595
24,1994-05-31,WN,-0.3227926078028747
25,1994-06-30,AA,1.621998580197937
26,1994-06-30,DL,4.028155892552145
27,1994-06-30,UA,2.9872070243349778
28,1994-06-30,US,2.207568967931662
29,1994-06-30,WN,2.0236278410639343
30,1994-07-31,AA,2.797428501787455
31,1994-07-31,DL,5.269629654411027
32,1994-07-31,UA,2.791350114416476
33,1994-07-31,US,5.204222596505555
34,1994-07-31,WN,1.355205047318612
35,1994-08-31,AA,0.35323783359497646
36,1994-08-31,DL,3.0679676985195155
37,1994-08-31,UA,1.1699625750160552
38,1994-08-31,US,2.6378193475889877
39,1994-08-31,WN,1.0050079728921666
40,1994-09-30,AA,-0.6207456103852875
41,1994-09-30,DL,1.5423717131336803
42,1994-09-30,UA,-0.5497339533100043
43,1994-09-30,US,0.4003173483779972
44,1994-09-30,WN,0.08206663790697084
45,1994-10-31,AA,0.8372363903874448
46,1994-10-31,DL,2.9413058327641073
47,1994-10-31,UA,-1.8105898601087054
48,1994-10-31,US,-0.11026979092056345
49,1994-10-31,WN,2.0334318433690433
50,1994-11-30,AA,1.5540154390753615
51,1994-11-30,DL,3.146769354923598
52,1994-11-30,UA,-0.7984847084911763
53,1994-11-30,US,2.557247150997151
54,1994-11-30,WN,4.0588796710961015
55,1994-12-31,AA,2.757745832377058
56,1994-12-31,DL,3.125773546412785
57,1994-12-31,UA,-0.9917312211680738
58,1994-12-31,US,2.6876925958084343
59,1994-12-31,WN,6.016598485917148
0,1995-01-31,AA,4.478126988688851
1,1995-01-31,DL,2.9011301731848116
2,1995-01-31,UA,2.6821255219483247
3,1995-01-31,US,3.67778253058431
4,1995-01-31,WN,7.092837125882749
5,1995-02-28,AA,2.5818214681096223
6,1995-02-28,DL,3.0197162736062166
7,1995-02-28,UA,-0.11584158415841585
8,1995-02-28,US,3.29579177353472
9,1995-02-28,WN,2.8968391635347404
10,1995-03-31,AA,5.8640192041057055
11,1995-03-31,DL,2.153513583274182
12,1995-03-31,UA,1.286357734134069
13,1995-03-31,US,1.6380413515943102
14,1995-03-31,WN,3.912179911581915
15,1995-04-30,AA,3.595000550600154
16,1995-04-30,DL,2.686741128328973
17,1995-04-30,UA,-0.8572363283311172
18,1995-04-30,US,1.4932504505829993
19,1995-04-30,WN,2.708016802216463
20,1995-05-31,AA,2.4257168439212946
21,1995-05-31,DL,3.3320179616274324
22,1995-05-31,UA,1.2010788314679381
23,1995-05-31,US,0.8696825962241512
24,1995-05-31,WN,2.1769503165575705
25,1995-06-30,AA,2.544810206331706
26,1995-06-30,DL,5.368868168868169
27,1995-06-30,UA,3.993246882379749
28,1995-06-30,US,4.211955108328166
29,1995-06-30,WN,2.4863010743409415
30,1995-07-31,AA,0.9571811074220842
31,1995-07-31,DL,3.543246705093201
32,1995-07-31,UA,2.4820417030434694
33,1995-07-31,US,1.9170624051705452
34,1995-07-31,WN,0.7019160143543682
35,1995-08-31,AA,0.5017795120277861
36,1995-08-31,DL,3.7937640683618175
37,1995-08-31,UA,2.6771386074931662
38,1995-08-31,US,1.9776054270639107
39,1995-08-31,WN,0.8985258687574013
40,1995-09-30,AA,-1.9792475837774366
41,1995-09-30,DL,2.7333051935489543
42,1995-09-30,UA,0.07556760420196544
43,1995-09-30,US,0.20072738037341678
44,1995-09-30,WN,-0.5280903693224445
45,1995-10-31,AA,-0.7792004861322106
46,1995-10-31,DL,5.130328948465296
47,1995-10-31,UA,2.499898258180042
48,1995-10-31,US,1.820444249306484
49,1995-10-31,WN,0.6650244307929364
50,1995-11-30,AA,-0.2597108155002892
51,1995-11-30,DL,5.944770609949025
52,1995-11-30,UA,3.906482372495845
53,1995-11-30,US,3.9345030721479697
54,1995-11-30,WN,2.522407252620073
55,1995-12-31,AA,6.8070450009072765
56,1995-12-31,DL,12.093315512662512
57,1995-12-31,UA,8.519846782001094
58,1995-12-31,US,7.683903675538657
59,1995-12-31,WN,6.585035862905418
0,1996-01-31,AA,8.980848415206358
1,1996-01-31,DL,16.1922187097116
2,1996-01-31,UA,10.24590054807287
3,1996-01-31,US,9.488965168217923
4,1996-01-31,WN,3.3911617576852024
5,1996-02-29,AA,3.62630014858841
6,1996-02-29,DL,10.178882284746885
7,1996-02-29,UA,5.395518955737095
8,1996-02-29,US,5.758704892828073
9,1996-02-29,WN,2.3290238328436175
10,1996-03-31,AA,1.9836778862411795
11,1996-03-31,DL,7.90334402198809
12,1996-03-31,UA,0.9724612036528566
13,1996-03-31,US,5.291171788906575
14,1996-03-31,WN,1.9326480822301324
