,date,dest_city,origin_city,DepDelay
31,1995-07-31,Las Vegas,Los Angeles,3.546434494195688
32,1995-07-31,San Francisco,Los Angeles,4.839630562552477
33,1995-07-31,Chicago,Minneapolis,1.161106590724166
34,1995-07-31,Los Angeles,San Francisco,2.577264653641208
35,1995-08-31,Minneapolis,Chicago,3.722610722610723
36,1995-08-31,Las Vegas,Los Angeles,4.292134831460674
37,1995-08-31,San Francisco,Los Angeles,5.1743986254295535
38,1995-08-31,Chicago,Minneapolis,2.9375476009139376
39,1995-08-31,Los Angeles,San Francisco,2.585016835016835
40,1995-09-30,Minneapolis,Chicago,0.3711167086481948
41,1995-09-30,Las Vegas,Los Angeles,2.1201382886776146
42,1995-09-30,San Francisco,Los Angeles,4.52077807250221
43,1995-09-30,Chicago,Minneapolis,-0.47319148936170213
44,1995-09-30,Los Angeles,San Francisco,2.240146654445463
45,1995-10-31,Minneapolis,Chicago,1.1593533487297922
46,1995-10-31,Las Vegas,Los Angeles,4.100259291270527
47,1995-10-31,San Francisco,Los Angeles,8.213142375737153
48,1995-10-31,Chicago,Minneapolis,0.05425101214574899
49,1995-10-31,Los Angeles,San Francisco,5.5103734439834025
50,1995-11-30,Minneapolis,Chicago,2.6527777777777777
51,1995-11-30,Las Vegas,Los Angeles,9.517793594306049
52,1995-11-30,San Francisco,Los Angeles,14.374445430346052
53,1995-11-30,Chicago,Minneapolis,1.6552901023890785
54,1995-11-30,Los Angeles,San Francisco,10.838862559241706
55,1995-12-31,Minneapolis,Chicago,4.523931623931624
56,1995-12-31,Las Vegas,Los Angeles,10.190517241379311
57,1995-12-31,San Francisco,Los Angeles,24.476722532588454
58,1995-12-31,Chicago,Minneapolis,2.408108108108108
59,1995-12-31,Los Angeles,San Francisco,21.785714285714285
0,1996-01-31,Minneapolis,Chicago,5.980599647266314
1,1996-01-31,Las Vegas,Los Angeles,6.121971595655806
2,1996-01-31,San Francisco,Los Angeles,14.196706312900275
3,1996-01-31,Chicago,Minneapolis,3.3139643861293346
4,1996-01-31,Los Angeles,San Francisco,11.792097836312324
5,1996-02-29,Minneapolis,Chicago,2.890374331550802
6,1996-02-29,Las Vegas,Los Angeles,7.7897071872227155
7,1996-02-29,San Francisco,Los Angeles,19.493557978196232
8,1996-02-29,Chicago,Minneapolis,1.5844277673545966
9,1996-02-29,Los Angeles,San Francisco,15.970149253731343
