,date,Origin,DepDelay
0,1994-01-31,ATL,10.237541792708168
1,1994-01-31,DFW,10.39906623026569
2,1994-01-31,LAX,7.876447876447877
3,1994-01-31,ORD,15.161087267525035
4,1994-01-31,STL,14.452738639544648
5,1994-02-28,ATL,9.509384775808133
6,1994-02-28,DFW,8.470867637745409
7,1994-02-28,LAX,9.352858744394618
8,1994-02-28,ORD,12.215395624616642
9,1994-02-28,STL,6.952185655696709
10,1994-03-31,ATL,7.897180932854946
11,1994-03-31,DFW,6.0956481048198405
12,1994-03-31,LAX,6.321654741343861
13,1994-03-31,ORD,3.7240120815504656
14,1994-03-31,STL,4.619502216160927
15,1994-04-30,ATL,8.58497772119669
16,1994-04-30,DFW,8.198789639312515
17,1994-04-30,LAX,5.305473310210642
18,1994-04-30,ORD,5.578062939199511
19,1994-04-30,STL,7.60317880794702
20,1994-05-31,ATL,5.1510091552226385
21,1994-05-31,DFW,6.240220019915596
22,1994-05-31,LAX,4.340916372957386
23,1994-05-31,ORD,2.593178947368421
24,1994-05-31,STL,2.4276148499745718
25,1994-06-30,ATL,10.34475886807493
26,1994-06-30,DFW,6.796038749280645
27,1994-06-30,LAX,4.96702681072429
28,1994-06-30,ORD,6.931433581762385
29,1994-06-30,STL,6.620260237886166
30,1994-07-31,ATL,10.973744228736718
31,1994-07-31,DFW,9.647637257579897
32,1994-07-31,LAX,6.206296099155958
33,1994-07-31,ORD,8.122387155407452
34,1994-07-31,STL,5.103188232658852
35,1994-08-31,ATL,6.74910022903261
36,1994-08-31,DFW,6.733351392839406
37,1994-08-31,LAX,5.513670565447367
38,1994-08-31,ORD,6.374012770962864
39,1994-08-31,STL,4.267528881784495
40,1994-09-30,ATL,4.593710835137291
41,1994-09-30,DFW,4.680319447039044
42,1994-09-30,LAX,3.922435105067985
43,1994-09-30,ORD,3.682592054902996
44,1994-09-30,STL,2.0411600332301187
45,1994-10-31,ATL,6.594588721069217
46,1994-10-31,DFW,14.621463770761087
47,1994-10-31,LAX,5.429294755877034
48,1994-10-31,ORD,3.4422727080424758
49,1994-10-31,STL,5.825356665963876
50,1994-11-30,ATL,7.159001239995491
51,1994-11-30,DFW,8.06091734352604
52,1994-11-30,LAX,8.847639972725206
53,1994-11-30,ORD,7.3382702751223015
54,1994-11-30,STL,9.215402949500968
55,1994-12-31,ATL,7.780641653072322
56,1994-12-31,DFW,13.841925980482415
57,1994-12-31,LAX,9.578381840176474
58,1994-12-31,ORD,6.340938609403412
59,1994-12-31,STL,11.069509345794392
0,1995-01-31,ATL,8.828467345969061
1,1995-01-31,DFW,12.230440528634361
2,1995-01-31,LAX,15.431681109185442
3,1995-01-31,ORD,12.733198499978933
4,1995-01-31,STL,19.63622164373373
5,1995-02-28,ATL,11.207989705796338
6,1995-02-28,DFW,11.40813924981613
7,1995-02-28,LAX,8.847068625965763
8,1995-02-28,ORD,7.458611361587016
9,1995-02-28,STL,8.41480785786961
10,1995-03-31,ATL,8.618257044097623
11,1995-03-31,DFW,16.30873871890821
12,1995-03-31,LAX,10.40353827525898
13,1995-03-31,ORD,9.444019485486534
14,1995-03-31,STL,5.539171466241066
15,1995-04-30,ATL,9.167009194159006
16,1995-04-30,DFW,11.458920241998799
17,1995-04-30,LAX,7.9714344430743935
18,1995-04-30,ORD,10.033310873410258
19,1995-04-30,STL,7.598636495503336
20,1995-05-31,ATL,8.697216915371508
21,1995-05-31,DFW,9.52311244516278
22,1995-05-31,LAX,7.995923636116584
23,1995-05-31,ORD,8.133223276929426
24,1995-05-31,STL,13.746996466431096
25,1995-06-30,ATL,12.911824909463077
26,1995-06-30,DFW,8.043567800100682
27,1995-06-30,LAX,10.991258978181325
28,1995-06-30,ORD,13.553716571909876
29,1995-06-30,STL,9.946648141715874
30,1995-07-31,ATL,10.511774102128099
31,1995-07-31,DFW,9.222251423565485
32,1995-07-31,LAX,8.186390918580376
33,1995-07-31,ORD,11.50615823817292
34,1995-07-31,STL,7.646329966329966
35,1995-08-31,ATL,11.651220879849111
36,1995-08-31,DFW,7.001828312728539
37,1995-08-31,LAX,8.835858907423914
38,1995-08-31,ORD,15.148971160402711
39,1995-08-31,STL,11.004977105315549
40,1995-09-30,ATL,7.3100048228926635
41,1995-09-30,DFW,5.566666666666666
42,1995-09-30,LAX,6.375247457164312
43,1995-09-30,ORD,6.24804144553955
44,1995-09-30,STL,5.359275575134606
45,1995-10-31,ATL,11.182426906563075
46,1995-10-31,DFW,6.843822334803686
47,1995-10-31,LAX,9.21876442275994
48,1995-10-31,ORD,7.481744176674458
49,1995-10-31,STL,6.613681559061382
50,1995-11-30,ATL,14.133239755979053
51,1995-11-30,DFW,6.922657850623953
52,1995-11-30,LAX,14.364990820505579
53,1995-11-30,ORD,14.083000043005203
54,1995-11-30,STL,9.636165424110283
55,1995-12-31,ATL,20.153566009104704
56,1995-12-31,DFW,16.325653586845807
57,1995-12-31,LAX,16.7805513646962
58,1995-12-31,ORD,17.736096336326113
59,1995-12-31,STL,23.320433436532507
0,1996-01-31,ATL,24.0855151045701
1,1996-01-31,DFW,17.167501363613823
2,1996-01-31,LAX,14.057257729100236
3,1996-01-31,ORD,21.6999417536628
4,1996-01-31,STL,23.167993054550717
5,1996-02-29,ATL,16.445711479703185
6,1996-02-29,DFW,11.094597480247705
7,1996-02-29,LAX,14.067591990168438
8,1996-02-29,ORD,11.814116283217407
9,1996-02-29,STL,10.4116499241165
10,1996-03-31,ATL,16.05224138783176
11,1996-03-31,DFW,9.280701754385966
12,1996-03-31,LAX,10.449055081041092
13,1996-03-31,ORD,11.141551006960174
14,1996-03-31,STL,12.009817197020988
15,1996-04-30,ATL,10.052415471181629
16,1996-04-30,DFW,12.193619582664526
17,1996-04-30,LAX,7.214163413464831
18,1996-04-30,ORD,10.668701583024587
19,1996-04-30,STL,9.670877338303306
20,1996-05-31,ATL,8.00983574309039
21,1996-05-31,DFW,7.957771005659556
22,1996-05-31,LAX,7.970237306111627
23,1996-05-31,ORD,18.735902926481085
24,1996-05-31,STL,12.905890272635476
25,1996-06-30,ATL,10.779473657522438
26,1996-06-30,DFW,12.86133133881825
27,1996-06-30,LAX,9.321497568449804
28,1996-06-30,ORD,15.63735855290328
29,1996-06-30,STL,12.17456703236045
30,1996-07-31,ATL,10.702139276319055
31,1996-07-31,DFW,16.314188532555878
32,1996-07-31,LAX,10.084800918836141
33,1996-07-31,ORD,14.772152406953868
34,1996-07-31,STL,12.845105411575132
35,1996-08-31,ATL,11.383607526352083
36,1996-08-31,DFW,15.40711386965863
37,1996-08-31,LAX,10.65971480620642
38,1996-08-31,ORD,12.072249200521142
39,1996-08-31,STL,12.407001461405606
40,1996-09-30,ATL,7.334468524251806
41,1996-09-30,DFW,8.67491921451653
42,1996-09-30,LAX,9.109467652741689
43,1996-09-30,ORD,8.412010642341315
44,1996-09-30,STL,9.0822811746347
45,1996-10-31,ATL,7.26229751086527
46,1996-10-31,DFW,11.276827001001097
47,1996-10-31,LAX,12.912119842448504
48,1996-10-31,ORD,9.068455284552845
49,1996-10-31,STL,10.824274370208105
50,1996-11-30,ATL,8.6024651716816
51,1996-11-30,DFW,8.439406139909412
52,1996-11-30,LAX,10.847932292025046
53,1996-11-30,ORD,6.650756345611486
