,date,UniqueCarrier,DepDelay
0,1994-01-31,AA,9.618048738482734
1,1994-01-31,DL,8.738695483728138
2,1994-01-31,UA,12.929052674561046
3,1994-01-31,US,14.212745959105687
4,1994-01-31,WN,7.400933104312706
5,1994-02-28,AA,7.973210231572574
6,1994-02-28,DL,7.8671850134133585
7,1994-02-28,UA,12.693947654189659
8,1994-02-28,US,12.891810568195115
9,1994-02-28,WN,7.794855677360958
10,1994-03-31,AA,3.531543341749207
11,1994-03-31,DL,6.163512500669201
12,1994-03-31,UA,5.490560389185144
13,1994-03-31,US,9.29625299418273
14,1994-03-31,WN,5.181335289149664
15,1994-04-30,AA,4.607154199749269
16,1994-04-30,DL,6.672529208764709
17,1994-04-30,UA,6.467336683417085
18,1994-04-30,US,7.2699898858546455
19,1994-04-30,WN,5.30437482749103
20,1994-05-31,AA,2.141348602572629
21,1994-05-31,DL,4.534416423084767
22,1994-05-31,UA,3.593684250075143
23,1994-05-31,US,6.083680921187588
24,1994-05-31,WN,4.043773119605425
25,1994-06-30,AA,4.594275015181162
26,1994-06-30,DL,8.290599721059973
27,1994-06-30,UA,7.076211057775057
28,1994-06-30,US,9.495555365003144
29,1994-06-30,WN,5.929541765791405
30,1994-07-31,AA,6.828727219616689
31,1994-07-31,DL,9.118828830062585
32,1994-07-31,UA,7.4356834906712255
33,1994-07-31,US,11.599451284243035
34,1994-07-31,WN,5.26078165711308
35,1994-08-31,AA,4.274421676654423
36,1994-08-31,DL,6.949494404745854
37,1994-08-31,UA,5.635996174459101
38,1994-08-31,US,8.49901818723508
39,1994-08-31,WN,5.042515718118331
40,1994-09-30,AA,2.835774800013501
41,1994-09-30,DL,4.473778029284856
42,1994-09-30,UA,3.9306924950701774
43,1994-09-30,US,5.714960027215513
44,1994-09-30,WN,3.3629531753241393
45,1994-10-31,AA,7.881741744718107
46,1994-10-31,DL,6.329421375085092
47,1994-10-31,UA,3.3446967624259005
48,1994-10-31,US,4.404315003506456
49,1994-10-31,WN,6.928282352941176
50,1994-11-30,AA,5.498303905366617
51,1994-11-30,DL,6.214701818855133
52,1994-11-30,UA,7.245339758676081
53,1994-11-30,US,7.675227754540766
54,1994-11-30,WN,8.430207078982175
55,1994-12-31,AA,8.214194695013582
56,1994-12-31,DL,6.950766283524904
57,1994-12-31,UA,7.378636872289831
58,1994-12-31,US,7.290728356625295
59,1994-12-31,WN,11.87489946765731
0,1995-01-31,AA,10.077664286658733
1,1995-01-31,DL,8.021998434369568
2,1995-01-31,UA,11.3420057816322
3,1995-01-31,US,8.19668003873288
4,1995-01-31,WN,13.241358728091594
5,1995-02-28,AA,8.07865561694291
6,1995-02-28,DL,8.380373804180937
7,1995-02-28,UA,8.457823305351134
8,1995-02-28,US,8.333809531203901
9,1995-02-28,WN,7.653024841313377
10,1995-03-31,AA,11.034896823127765
11,1995-03-31,DL,7.43429360694554
12,1995-03-31,UA,9.543768703700675
13,1995-03-31,US,7.246097453969063
14,1995-03-31,WN,7.993329491679327
15,1995-04-30,AA,7.23511143265515
16,1995-04-30,DL,7.5894593118514475
17,1995-04-30,UA,7.683551807065678
18,1995-04-30,US,6.422377288721894
19,1995-04-30,WN,7.857598396501458
20,1995-05-31,AA,5.3993640868962824
21,1995-05-31,DL,7.560397365472384
22,1995-05-31,UA,7.088446241116255
23,1995-05-31,US,6.210023542194857
24,1995-05-31,WN,7.729309068370035
25,1995-06-30,AA,6.908101484791697
26,1995-06-30,DL,10.254962658596853
27,1995-06-30,UA,11.176407739436737
28,1995-06-30,US,8.933600540853776
29,1995-06-30,WN,8.318149078579836
30,1995-07-31,AA,7.070816010576304
31,1995-07-31,DL,9.114154878860761
32,1995-07-31,UA,9.818868170132449
33,1995-07-31,US,8.710835203513247
34,1995-07-31,WN,6.577855991122978
35,1995-08-31,AA,6.75290290203679
36,1995-08-31,DL,9.213115856282272
37,1995-08-31,UA,11.257999320926773
38,1995-08-31,US,7.596208455619894
39,1995-08-31,WN,6.865548478176837
40,1995-09-30,AA,3.1605654488709383
41,1995-09-30,DL,6.790445229681978
42,1995-09-30,UA,6.878990590248075
43,1995-09-30,US,4.9073849982104205
44,1995-09-30,WN,4.938340669554391
45,1995-10-31,AA,4.116906886296042
46,1995-10-31,DL,9.084481709378592
47,1995-10-31,UA,9.050749026595394
48,1995-10-31,US,7.29034801031385
49,1995-10-31,WN,5.920446316898164
50,1995-11-30,AA,6.453339321469339
51,1995-11-30,DL,10.867433301350442
52,1995-11-30,UA,13.318180212638197
53,1995-11-30,US,8.706289523158434
54,1995-11-30,WN,9.123855914574955
55,1995-12-31,AA,13.604195367462022
56,1995-12-31,DL,15.881239649869885
57,1995-12-31,UA,17.361634843848822
58,1995-12-31,US,14.22242718610909
59,1995-12-31,WN,13.624978750892463
0,1996-01-31,AA,15.468179556848188
1,1996-01-31,DL,20.368132494090172
2,1996-01-31,UA,18.663006322948583
3,1996-01-31,US,15.825492575671046
4,1996-01-31,WN,10.127123745819398
5,1996-02-29,AA,9.777331815731145
6,1996-02-29,DL,13.907808174322032
7,1996-02-29,UA,14.267611653251656
8,1996-02-29,US,12.64008675682572
9,1996-02-29,WN,8.3048538276595
10,1996-03-31,AA,8.171379310344827
11,1996-03-31,DL,11.414125069687122
12,1996-03-31,UA,10.17446417736672
13,1996-03-31,US,11.912791950536244
14,1996-03-31,WN,7.75697482259162
15,1996-04-30,AA,9.070643112718008
16,1996-04-30,DL,8.095237425848351
17,1996-04-30,UA,7.859702362582724
18,1996-04-30,US,8.912264692960221
19,1996-04-30,WN,6.684320307662223
