,date,UniqueCarrier,DepDelay
0,1994-01-31,AA,3.868926766094331
1,1994-01-31,DL,4.364803934963793
2,1994-01-31,UA,5.750347078451909
3,1994-01-31,US,8.053477042303857
4,1994-01-31,WN,2.8446132063328613
5,1994-02-28,AA,1.8700157742529138
6,1994-02-28,DL,3.6921789495458563
7,1994-02-28,UA,4.840367994061191
8,1994-02-28,US,6.40273178807947
9,1994-02-28,WN,3.297678182731484
10,1994-03-31,AA,0.10317854957160343
11,1994-03-31,DL,2.669523174908184
12,1994-03-31,UA,1.7452461042081417
13,1994-03-31,US,4.984123331799355
14,1994-03-31,WN,2.0547438049165763
15,1994-04-30,AA,0.11593260419745788
16,1994-04-30,DL,2.279397809338459
17,1994-04-30,UA,2.1303719155189986
18,1994-04-30,US,3.084742371185593
19,1994-04-30,WN,1.8859209085584783
20,1994-05-31,AA,-0.4264083423118362
21,1994-05-31,DL,1.7430843706777317
22,1994-05-31,UA,0.9420745602041747
23,1994-05-31,US,2.3467349389974084
24,1994-05-31,WN,1.4868654037402673
25,1994-06-30,AA,0.6053109086297388
26,1994-06-30,DL,3.376734129043418
27,1994-06-30,UA,2.441319326781882
28,1994-06-30,US,3.7558511948755853
29,1994-06-30,WN,2.3796378527728437
30,1994-07-31,AA,1.5878656218480875
31,1994-07-31,DL,4.367244540756793
32,1994-07-31,UA,2.573624172762104
33,1994-07-31,US,5.885309626825311
34,1994-07-31,WN,2.1153739227133723
35,1994-08-31,AA,0.050100200400801605
36,1994-08-31,DL,3.2423195084485408
37,1994-08-31,UA,1.955624332977588
38,1994-08-31,US,4.322818634041409
39,1994-08-31,WN,1.9291228386980273
40,1994-09-30,AA,0.22869018526641186
41,1994-09-30,DL,1.8323522012578617
42,1994-09-30,UA,1.3728483794176891
43,1994-09-30,US,2.2604395422948005
44,1994-09-30,WN,0.9444100872672301
45,1994-10-31,AA,0.7845910451175114
46,1994-10-31,DL,2.586185916936181
47,1994-10-31,UA,1.1245237617806296
48,1994-10-31,US,1.8452394267180086
49,1994-10-31,WN,2.556890958995259
50,1994-11-30,AA,1.7770846673414165
51,1994-11-30,DL,3.4850968572083265
52,1994-11-30,UA,2.7435760884036746
53,1994-11-30,US,3.4014493947130036
54,1994-11-30,WN,3.870769298130391
55,1994-12-31,AA,3.08252809102096
56,1994-12-31,DL,3.899803569903493
57,1994-12-31,UA,3.5206929342208624
58,1994-12-31,US,4.325116112897463
59,1994-12-31,WN,5.984012399414
0,1995-01-31,AA,3.648754603413456
1,1995-01-31,DL,3.2896396108052746
2,1995-01-31,UA,5.303306613226453
3,1995-01-31,US,4.3683316168898045
4,1995-01-31,WN,6.316488987933908
5,1995-02-28,AA,2.211573645336887
6,1995-02-28,DL,3.4156478346105863
7,1995-02-28,UA,3.416938748857255
8,1995-02-28,US,4.391143345037318
9,1995-02-28,WN,3.376528702615659
10,1995-03-31,AA,4.32559088035565
11,1995-03-31,DL,2.9699723365928974
12,1995-03-31,UA,4.214308930654074
13,1995-03-31,US,3.1903791275988587
14,1995-03-31,WN,3.778890408057155
15,1995-04-30,AA,1.5593105111954209
16,1995-04-30,DL,2.8582461759161952
17,1995-04-30,UA,2.796230270010416
18,1995-04-30,US,2.9253479399200772
19,1995-04-30,WN,3.518776133805082
20,1995-05-31,AA,0.9711376260028801
21,1995-05-31,DL,3.172935794912298
22,1995-05-31,UA,2.759386618890751
23,1995-05-31,US,2.5632321966334186
24,1995-05-31,WN,3.0678448061985915
25,1995-06-30,AA,1.1352325164879158
26,1995-06-30,DL,4.6149431883392635
27,1995-06-30,UA,4.580678394401788
28,1995-06-30,US,4.666241513284408
29,1995-06-30,WN,3.5644718124598085
30,1995-07-31,AA,1.3396722261308613
31,1995-07-31,DL,4.036959315471833
32,1995-07-31,UA,3.9494212809486826
33,1995-07-31,US,4.01804708975738
34,1995-07-31,WN,2.411524213516574
35,1995-08-31,AA,1.0356772023092577
36,1995-08-31,DL,4.108460666443135
37,1995-08-31,UA,4.332040005273765
38,1995-08-31,US,3.8600376180411473
39,1995-08-31,WN,2.599431924356243
40,1995-09-30,AA,-0.585247678347536
41,1995-09-30,DL,2.6047806553452792
42,1995-09-30,UA,2.5727521202620682
43,1995-09-30,US,1.8154143657423099
44,1995-09-30,WN,1.481113744996697
45,1995-10-31,AA,0.20429370299745034
46,1995-10-31,DL,4.199257345818534
47,1995-10-31,UA,3.9700003799825208
48,1995-10-31,US,3.755521346469622
49,1995-10-31,WN,2.2869584110372796
50,1995-11-30,AA,1.214107757967027
51,1995-11-30,DL,5.265096886640921
52,1995-11-30,UA,6.47277456902253
53,1995-11-30,US,4.88928907967752
54,1995-11-30,WN,3.8662962820562115
55,1995-12-31,AA,6.110845621700346
56,1995-12-31,DL,9.419574129490927
57,1995-12-31,UA,10.033608143349879
58,1995-12-31,US,7.746947290912438
59,1995-12-31,WN,7.260091717148843
0,1996-01-31,AA,6.613954315962723
1,1996-01-31,DL,11.987184656650479
2,1996-01-31,UA,10.432477593802219
3,1996-01-31,US,8.813895353848807
4,1996-01-31,WN,4.067644161974317
5,1996-02-29,AA,3.0909974630722905
6,1996-02-29,DL,7.3112209910852854
7,1996-02-29,UA,6.929404011697351
8,1996-02-29,US,6.672664099499845
9,1996-02-29,WN,3.425600185564619
10,1996-03-31,AA,2.0143987409077373
11,1996-03-31,DL,5.189841960790683
