,date,dest_city,origin_city,ArrDelay
30,1995-07-31,Minneapolis,Chicago,0.5656652360515021
31,1995-07-31,Las Vegas,Los Angeles,3.2867194371152153
32,1995-07-31,San Francisco,Los Angeles,-2.964737793851718
33,1995-07-31,Chicago,Minneapolis,1.823175965665236
34,1995-07-31,Los Angeles,San Francisco,0.596100278551532
35,1995-08-31,Minneapolis,Chicago,4.923832923832924
36,1995-08-31,Las Vegas,Los Angeles,4.5931330472103005
37,1995-08-31,San Francisco,Los Angeles,-3.20704845814978
38,1995-08-31,Chicago,Minneapolis,6.5726004922067265
39,1995-08-31,Los Angeles,San Francisco,0.8318345323741008
40,1995-09-30,Minneapolis,Chicago,-1.5202360876897134
41,1995-09-30,Las Vegas,Los Angeles,2.112488928255093
42,1995-09-30,San Francisco,Los Angeles,-1.3868194842406876
43,1995-09-30,Chicago,Minneapolis,-0.7558441558441559
44,1995-09-30,Los Angeles,San Francisco,-0.9445506692160612
45,1995-10-31,Minneapolis,Chicago,0.6349840255591054
46,1995-10-31,Las Vegas,Los Angeles,4.940818102697998
47,1995-10-31,San Francisco,Los Angeles,2.2808988764044944
48,1995-10-31,Chicago,Minneapolis,0.5387755102040817
49,1995-10-31,Los Angeles,San Francisco,7.66376306620209
50,1995-11-30,Minneapolis,Chicago,1.741991341991342
51,1995-11-30,Las Vegas,Los Angeles,10.718132854578098
52,1995-11-30,San Francisco,Los Angeles,11.9335232668566
53,1995-11-30,Chicago,Minneapolis,1.1898846495119788
54,1995-11-30,Los Angeles,San Francisco,10.74409820585458
55,1995-12-31,Minneapolis,Chicago,4.400544959128065
56,1995-12-31,Las Vegas,Los Angeles,10.211754537597233
57,1995-12-31,San Francisco,Los Angeles,28.5179584120983
58,1995-12-31,Chicago,Minneapolis,3.657142857142857
59,1995-12-31,Los Angeles,San Francisco,20.013270142180094
0,1996-01-31,Minneapolis,Chicago,6.206864564007422
1,1996-01-31,Las Vegas,Los Angeles,5.923339011925043
2,1996-01-31,San Francisco,Los Angeles,15.366666666666667
3,1996-01-31,Chicago,Minneapolis,6.797169811320755
4,1996-01-31,Los Angeles,San Francisco,7.832221163012393
5,1996-02-29,Minneapolis,Chicago,2.9489322191272054
6,1996-02-29,Las Vegas,Los Angeles,6.958818263205013
7,1996-02-29,San Francisco,Los Angeles,19.64110127826942
8,1996-02-29,Chicago,Minneapolis,1.299618320610687
9,1996-02-29,Los Angeles,San Francisco,14.749256689791872
10,1996-03-31,Minneapolis,Chicago,-1.2406277244986923
11,1996-03-31,Las Vegas,Los Angeles,3.9771573604060912
12,1996-03-31,San Francisco,Los Angeles,2.3858549686660697
13,1996-03-31,Chicago,Minneapolis,-0.46024734982332155
14,1996-03-31,Los Angeles,San Francisco,2.015342960288809
15,1996-04-30,Minneapolis,Chicago,-1.321148825065274
16,1996-04-30,Las Vegas,Los Angeles,1.8904469763365468
17,1996-04-30,San Francisco,Los Angeles,-1.0419776119402986
18,1996-04-30,Chicago,Minneapolis,-1.0348214285714286
19,1996-04-30,Los Angeles,San Francisco,-3.1037383177570095
20,1996-05-31,Minneapolis,Chicago,9.771758436944937
21,1996-05-31,Las Vegas,Los Angeles,0.566722972972973
22,1996-05-31,San Francisco,Los Angeles,-0.023963133640552997
23,1996-05-31,Chicago,Minneapolis,5.604757548032937
24,1996-05-31,Los Angeles,San Francisco,-3.0511669658886893
25,1996-06-30,Minneapolis,Chicago,7.121621621621622
26,1996-06-30,Las Vegas,Los Angeles,2.4783333333333335
27,1996-06-30,San Francisco,Los Angeles,0.5585156993339676
28,1996-06-30,Chicago,Minneapolis,6.628010704727921
29,1996-06-30,Los Angeles,San Francisco,0.3290909090909091
30,1996-07-31,Minneapolis,Chicago,4.537671232876712
31,1996-07-31,Las Vegas,Los Angeles,4.373221757322176
32,1996-07-31,San Francisco,Los Angeles,-1.6153136531365313
33,1996-07-31,Chicago,Minneapolis,0.9732528041415013
34,1996-07-31,Los Angeles,San Francisco,0.21422300263388938
35,1996-08-31,Minneapolis,Chicago,1.709322033898305
36,1996-08-31,Las Vegas,Los Angeles,5.978861788617886
37,1996-08-31,San Francisco,Los Angeles,1.0205223880597014
38,1996-08-31,Chicago,Minneapolis,0.675446049277825
39,1996-08-31,Los Angeles,San Francisco,3.549645390070922
40,1996-09-30,Minneapolis,Chicago,1.0441176470588236
41,1996-09-30,Las Vegas,Los Angeles,3.210217755443886
42,1996-09-30,San Francisco,Los Angeles,3.0028169014084507
43,1996-09-30,Chicago,Minneapolis,-2.4507042253521125
44,1996-09-30,Los Angeles,San Francisco,3.8549763033175357
45,1996-10-31,Minneapolis,Chicago,1.0671085335542667
46,1996-10-31,Las Vegas,Los Angeles,9.170491803278688
47,1996-10-31,San Francisco,Los Angeles,10.736455463728191
48,1996-10-31,Chicago,Minneapolis,-2.2748538011695905
49,1996-10-31,Los Angeles,San Francisco,12.42300556586271
50,1996-11-30,Minneapolis,Chicago,1.4193236714975845
51,1996-11-30,Las Vegas,Los Angeles,6.759148936170213
52,1996-11-30,San Francisco,Los Angeles,7.796859666339548
53,1996-11-30,Chicago,Minneapolis,-1.2173913043478262
54,1996-11-30,Los Angeles,San Francisco,5.717587939698492
55,1996-12-31,Minneapolis,Chicago,10.862512363996043
56,1996-12-31,Las Vegas,Los Angeles,15.14261744966443
57,1996-12-31,San Francisco,Los Angeles,22.642441860465116
58,1996-12-31,Chicago,Minneapolis,9.701581027667984
59,1996-12-31,Los Angeles,San Francisco,19.4636815920398
0,1997-01-31,Minneapolis,Chicago,7.920118343195266
1,1997-01-31,Las Vegas,Los Angeles,11.140703517587939
2,1997-01-31,San Francisco,Los Angeles,20.554901960784314
3,1997-01-31,Chicago,Minneapolis,6.680746561886051
4,1997-01-31,Los Angeles,San Francisco,14.333996023856859
5,1997-02-28,Minneapolis,Chicago,4.348148148148148
6,1997-02-28,Las Vegas,Los Angeles,4.079962370649106
7,1997-02-28,San Francisco,Los Angeles,5.104462474645031
8,1997-02-28,Chicago,Minneapolis,6.23305954825462
9,1997-02-28,Los Angeles,San Francisco,3.678794178794179
10,1997-03-31,Minneapolis,Chicago,5.215033301617507
11,1997-03-31,Las Vegas,Los Angeles,3.74234693877551
12,1997-03-31,San Francisco,Los Angeles,-1.1134492223238792
13,1997-03-31,Chicago,Minneapolis,2.816914498141264
14,1997-03-31,Los Angeles,San Francisco,2.0717529518619435
15,1997-04-30,Minneapolis,Chicago,0.8365019011406845
16,1997-04-30,Las Vegas,Los Angeles,2.5623365300784657
17,1997-04-30,San Francisco,Los Angeles,2.359333917616126
18,1997-04-30,Chicago,Minneapolis,-0.35315985130111527
19,1997-04-30,Los Angeles,San Francisco,-1.3057491289198606
20,1997-05-31,Minneapolis,Chicago,-0.7720254314259763
21,1997-05-31,Las Vegas,Los Angeles,2.0417376490630326
22,1997-05-31,San Francisco,Los Angeles,0.7121993127147767
23,1997-05-31,Chicago,Minneapolis,-1.5057675244010649
24,1997-05-31,Los Angeles,San Francisco,3.1884057971014492
25,1997-06-30,Minneapolis,Chicago,2.8832252085264134
26,1997-06-30,Las Vegas,Los Angeles,4.003659652333028
27,1997-06-30,San Francisco,Los Angeles,6.978668941979522
28,1997-06-30,Chicago,Minneapolis,2.8305235137533273
29,1997-06-30,Los Angeles,San Francisco,9.382404181184668
30,1997-07-31,Minneapolis,Chicago,6.073236889692586
31,1997-07-31,Las Vegas,Los Angeles,3.4038461538461537
32,1997-07-31,San Francisco,Los Angeles,3.283828382838284
33,1997-07-31,Chicago,Minneapolis,3.122574955908289
34,1997-07-31,Los Angeles,San Francisco,6.772203947368421
35,1997-08-31,Minneapolis,Chicago,3.2488563586459285
36,1997-08-31,Las Vegas,Los Angeles,6.409954751131222
37,1997-08-31,San Francisco,Los Angeles,9.581297388374052
38,1997-08-31,Chicago,Minneapolis,-0.5031222123104371
39,1997-08-31,Los Angeles,San Francisco,11.321281840591618
40,1997-09-30,Minneapolis,Chicago,0.6268656716417911
41,1997-09-30,Las Vegas,Los Angeles,0.5495412844036697
42,1997-09-30,San Francisco,Los Angeles,-1.4151624548736461
43,1997-09-30,Chicago,Minneapolis,-1.5622119815668203
44,1997-09-30,Los Angeles,San Francisco,-0.1947935368043088
45,1997-10-31,Minneapolis,Chicago,0.9855985598559855
46,1997-10-31,Las Vegas,Los Angeles,3.4510150044130627
47,1997-10-31,San Francisco,Los Angeles,5.7296099290780145
48,1997-10-31,Chicago,Minneapolis,-1.7982222222222222
49,1997-10-31,Los Angeles,San Francisco,4.502226179875334
50,1997-11-30,Minneapolis,Chicago,-1.667644183773216
51,1997-11-30,Las Vegas,Los Angeles,3.6339449541284403
52,1997-11-30,San Francisco,Los Angeles,11.110144927536233
53,1997-11-30,Chicago,Minneapolis,0.05632411067193676
54,1997-11-30,Los Angeles,San Francisco,7.575642245480495
55,1997-12-31,Minneapolis,Chicago,0.45948616600790515
56,1997-12-31,Las Vegas,Los Angeles,5.9814471243042675
57,1997-12-31,San Francisco,Los Angeles,5.925482980680773
58,1997-12-31,Chicago,Minneapolis,1.4759519038076152
59,1997-12-31,Los Angeles,San Francisco,4.426456984273821
0,1998-01-31,Minneapolis,Chicago,5.058401639344262
1,1998-01-31,Las Vegas,Los Angeles,4.3703024747937675
2,1998-01-31,San Francisco,Los Angeles,24.671079429735233
3,1998-01-31,Chicago,Minneapolis,6.758196721311475
4,1998-01-31,Los Angeles,San Francisco,14.445696721311476
5,1998-02-28,Minneapolis,Chicago,-2.1240951396070322
6,1998-02-28,Las Vegas,Los Angeles,11.009940357852882
7,1998-02-28,San Francisco,Los Angeles,28.970238095238095
8,1998-02-28,Chicago,Minneapolis,3.6534859521331944
9,1998-02-28,Los Angeles,San Francisco,21.915254237288135
10,1998-03-31,Minneapolis,Chicago,4.456542502387775
11,1998-03-31,Las Vegas,Los Angeles,3.94750656167979
12,1998-03-31,San Francisco,Los Angeles,7.749045801526718
13,1998-03-31,Chicago,Minneapolis,6.913002806361085
14,1998-03-31,Los Angeles,San Francisco,10.06826923076923
15,1998-04-30,Minneapolis,Chicago,-0.9300291545189504
16,1998-04-30,Las Vegas,Los Angeles,2.0955357142857145
17,1998-04-30,San Francisco,Los Angeles,3.9257086999022484
18,1998-04-30,Chicago,Minneapolis,1.4946859903381642
19,1998-04-30,Los Angeles,San Francisco,4.671890303623898
20,1998-05-31,Minneapolis,Chicago,4.111655239960823
21,1998-05-31,Las Vegas,Los Angeles,1.1190689346463742
22,1998-05-31,San Francisco,Los Angeles,13.17287784679089
23,1998-05-31,Chicago,Minneapolis,3.699106256206554
24,1998-05-31,Los Angeles,San Francisco,11.432682425488181
25,1998-06-30,Minneapolis,Chicago,11.522749273959342
26,1998-06-30,Las Vegas,Los Angeles,2.163452708907254
27,1998-06-30,San Francisco,Los Angeles,11.414346895074946
28,1998-06-30,Chicago,Minneapolis,7.112621359223301
29,1998-06-30,Los Angeles,San Francisco,7.775808133472367
30,1998-07-31,Minneapolis,Chicago,0.6348920863309353
31,1998-07-31,Las Vegas,Los Angeles,4.10046511627907
32,1998-07-31,San Francisco,Los Angeles,8.272353545734841
33,1998-07-31,Chicago,Minneapolis,-0.09605026929982047
34,1998-07-31,Los Angeles,San Francisco,4.914829659318637
35,1998-08-31,Minneapolis,Chicago,7.58889934148636
36,1998-08-31,Las Vegas,Los Angeles,5.78018018018018
37,1998-08-31,San Francisco,Los Angeles,3.8356435643564355
38,1998-08-31,Chicago,Minneapolis,7.032288698955366
39,1998-08-31,Los Angeles,San Francisco,2.3779296875
40,1998-09-30,Minneapolis,Chicago,2.7356181150550793
41,1998-09-30,Las Vegas,Los Angeles,1.1021611001964637
42,1998-09-30,San Francisco,Los Angeles,4.8662486938349
43,1998-09-30,Chicago,Minneapolis,0.35759897828863346
44,1998-09-30,Los Angeles,San Francisco,4.0073221757322175
45,1998-10-31,Minneapolis,Chicago,0.16770740410347904
46,1998-10-31,Las Vegas,Los Angeles,4.01705565529623
47,1998-10-31,San Francisco,Los Angeles,4.133990147783251
48,1998-10-31,Chicago,Minneapolis,-1.2279608192341942
49,1998-10-31,Los Angeles,San Francisco,2.358252427184466
50,1998-11-30,Minneapolis,Chicago,-2.307170542635659
51,1998-11-30,Las Vegas,Los Angeles,2.5627864344637947
52,1998-11-30,San Francisco,Los Angeles,2.5263736263736263
53,1998-11-30,Chicago,Minneapolis,-4.710351377018044
54,1998-11-30,Los Angeles,San Francisco,-0.053551912568306013
55,1998-12-31,Minneapolis,Chicago,-1.3279187817258884
